seiza x0 y0 z0 ly0 x1 y1 z1 ly1
end_header
Hya -0.65235 0.05929 -0.75559 4.3 -0.63753 0.05829 -0.7682 4.45
Hya -0.63753 0.05829 -0.7682 4.45 -0.63177 0.09939 -0.76875 4.14
Hya -0.63177 0.09939 -0.76875 4.14 -0.66098 0.1118 -0.74202 3.38
Hya -0.66098 0.1118 -0.74202 3.38 -0.66705 0.10172 -0.73803 4.35
Hya -0.66705 0.10172 -0.73803 4.35 -0.65235 0.05929 -0.75559 4.3
Hya -0.66705 0.10172 -0.73803 4.35 -0.68902 0.10359 -0.71729 3.11
Hya -0.68902 0.10359 -0.71729 3.11 -0.74939 0.0404 -0.66089 3.89
Hya -0.74939 0.0404 -0.66089 3.89 -0.79841 -0.02067 -0.60174 4.54
Hya -0.79841 -0.02067 -0.60174 4.54 -0.79015 -0.0483 -0.61099 4.59
Hya -0.79015 -0.0483 -0.61099 4.59 -0.77793 -0.15054 -0.61004 1.99
Hya -0.77793 -0.15054 -0.61004 1.99 -0.81856 -0.25623 -0.51409 4.11
Hya -0.81856 -0.25623 -0.51409 4.11 -0.86763 -0.21394 -0.44882 3.61
Hya -0.86763 -0.21394 -0.44882 3.61 -0.8779 -0.28963 -0.3813 3.83
Hya -0.8779 -0.28963 -0.3813 3.83 -0.9154 -0.27889 -0.29027 3.11
Hya -0.9154 -0.27889 -0.29027 3.11 -0.84347 -0.5278 -0.09981 3.54
Hya -0.84347 -0.5278 -0.09981 3.54 -0.82953 -0.55786 -0.02567 4.29
Hya -0.82953 -0.55786 -0.02567 4.29 -0.87826 -0.39262 0.27294 4.94
Hya -0.87826 -0.39262 0.27294 4.94 -0.86536 -0.39348 0.31036 2.99
Hyi 0.21924 -0.97536 -0.02464 2.82 0.1487 -0.9624 -0.2273 3.26
Hyi 0.1487 -0.9624 -0.2273 3.26 0.28409 -0.92891 -0.2375 4.12
Hyi 0.28409 -0.92891 -0.2375 4.12 0.2965 -0.93143 -0.211 4.08
Hyi 0.2965 -0.93143 -0.211 4.08 0.41358 -0.87939 -0.23581 2.86
Ind 0.45598 -0.80332 0.38308 4.39 0.43044 -0.73481 0.52419 3.11
Ind 0.43044 -0.73481 0.52419 3.11 0.36148 -0.85222 0.37823 3.67
Ind 0.36148 -0.85222 0.37823 3.67 0.45598 -0.80332 0.38308 4.39
Lac 0.71064 0.6122 0.34672 4.14 0.67492 0.68358 0.27788 4.52
Lac 0.67492 0.68358 0.27788 4.52 0.62118 0.73972 0.2588 4.34
Lac 0.62118 0.73972 0.2588 4.34 0.59419 0.76014 0.26295 4.55
Lac 0.59419 0.76014 0.26295 4.55 0.55907 0.79048 0.2502 4.42
Lac 0.55907 0.79048 0.2502 4.42 0.59173 0.76921 0.24122 3.76
Lac 0.59173 0.76921 0.24122 3.76 0.62118 0.73972 0.2588 4.34
Leo -0.96672 0.25161 -0.04616 2.14 -0.9448 0.26606 -0.19119 3.33
Leo -0.9448 0.26606 -0.19119 3.33 -0.8645 0.20736 -0.45785 1.36
Leo -0.8645 0.20736 -0.45785 1.36 -0.84411 0.28841 -0.45198 3.48
Leo -0.84411 0.28841 -0.45198 3.48 -0.85244 0.33943 -0.39764 2.01
Leo -0.85244 0.33943 -0.39764 2.01 -0.91781 0.35061 -0.18628 2.56
Leo -0.91781 0.35061 -0.18628 2.56 -0.96672 0.25161 -0.04616 2.14
Leo -0.85244 0.33943 -0.39764 2.01 -0.82597 0.39743 -0.39977 3.43
Leo -0.82597 0.39743 -0.39977 3.43 -0.76376 0.43849 -0.4737 3.88
Leo -0.76376 0.43849 -0.4737 3.88 -0.76279 0.40314 -0.50559 2.97
Leo -0.91781 0.35061 -0.18628 2.56 -0.9448 0.26606 -0.19119 3.33
Lep -0.02594 -0.25772 -0.96586 4.67 0.01521 -0.24476 -0.96946 3.71
Lep 0.01521 -0.24476 -0.96946 3.71 0.055 -0.25581 -0.96516 3.55
Lep 0.055 -0.25581 -0.96516 3.55 0.11301 -0.30606 -0.94527 2.58
Lep 0.11301 -0.30606 -0.94527 2.58 0.19584 -0.27908 -0.94008 3.29
Lep 0.11301 -0.30606 -0.94527 2.58 0.03539 -0.35637 -0.93367 3.76
Lep 0.03539 -0.35637 -0.93367 3.76 0.0626 -0.38183 -0.9221 3.59
Lep 0.0626 -0.38183 -0.9221 3.59 0.12915 -0.35444 -0.92611 2.81
Lep 0.12915 -0.35444 -0.92611 2.81 0.218 -0.3806 -0.89867 3.19
Lep 0.11301 -0.30606 -0.94527 2.58 0.12915 -0.35444 -0.92611 2.81
Lep 0.19584 -0.27908 -0.94008 3.29 0.17086 -0.22795 -0.95856 4.29
Lep 0.19584 -0.27908 -0.94008 3.29 0.19751 -0.22395 -0.95437 4.36
Lep 0.218 -0.3806 -0.89867 3.19 0.19584 -0.27908 -0.94008 3.29
Lep 0.19751 -0.22395 -0.95437 4.36 0.20223 -0.20567 -0.95749 4.45
Lep 0.17086 -0.22795 -0.95856 4.29 0.16973 -0.21329 -0.96213 5.29
Lib -0.501 -0.28785 0.81617 4.13 -0.56993 -0.25526 0.78104 3.91
Lib -0.56993 -0.25526 0.78104 3.91 -0.644 -0.16303 0.74746 2.61
Lib -0.644 -0.16303 0.74746 2.61 -0.70607 -0.27633 0.652 2.75
Lib -0.70607 -0.27633 0.652 2.75 -0.62792 -0.42707 0.65064 3.25
Lib -0.62792 -0.42707 0.65064 3.25 -0.56993 -0.25526 0.78104 3.91
LMi -0.79216 0.56231 -0.23724 3.79 -0.7378 0.59773 -0.31361 4.2
LMi -0.7378 0.59773 -0.31361 4.2 -0.72014 0.57707 -0.38521 4.49
LMi -0.72014 0.57707 -0.38521 4.49 -0.6475 0.59339 -0.47815 4.54
LMi -0.72014 0.57707 -0.38521 4.49 -0.79216 0.56231 -0.23724 3.79
Lup -0.44444 -0.55378 0.70413 3.97 -0.37839 -0.5984 0.70622 5.72
Lup -0.37839 -0.5984 0.70622 5.72 -0.3915 -0.6211 0.67894 3.42
Lup -0.3915 -0.6211 0.67894 3.42 -0.44444 -0.55378 0.70413 3.97
Lup -0.3915 -0.6211 0.67894 3.42 -0.44476 -0.65825 0.60737 2.8
Lup -0.44476 -0.65825 0.60737 2.8 -0.48421 -0.6514 0.58414 3.22
Lup -0.48421 -0.6514 0.58414 3.22 -0.51341 -0.59146 0.62176 3.57
Lup -0.48421 -0.6514 0.58414 3.22 -0.51931 -0.6837 0.51271 2.68
Lup -0.44476 -0.65825 0.60737 2.8 -0.42753 -0.67645 0.59969 4.34
Lup -0.42753 -0.67645 0.59969 4.34 -0.41047 -0.78907 0.45703 3.41
Lup -0.41047 -0.78907 0.45703 3.41 -0.51495 -0.73595 0.43954 2.3
Lup -0.41047 -0.78907 0.45703 3.41 -0.50209 -0.75956 0.41348 4.05
Lup -0.51495 -0.73595 0.43954 2.3 -0.5643 -0.71177 0.41826 4.33
Lup -0.51495 -0.73595 0.43954 2.3 -0.51931 -0.6837 0.51271 2.68
Lyn -0.63457 0.56486 -0.52749 3.14 -0.61076 0.59907 -0.51776 3.82
Lyn -0.61076 0.59907 -0.51776 3.82 -0.5693 0.62187 -0.53775 4.56
Lyn -0.5693 0.62187 -0.53775 4.56 -0.52875 0.66632 -0.52577 3.96
Lyn -0.52875 0.66632 -0.52577 3.96 -0.42555 0.6844 -0.59203 4.25
Lyn -0.42555 0.6844 -0.59203 4.25 -0.24131 0.75713 -0.60706 4.61
Lyn -0.24131 0.75713 -0.60706 4.61 -0.1295 0.85194 -0.50737 4.35
Lyn -0.1295 0.85194 -0.50737 4.35 -0.04403 0.85727 -0.51298 4.44
Lyr 0.12509 0.62638 0.76943 0.03 0.15379 0.61022 0.77717 4.34
Lyr 0.15379 0.61022 0.77717 4.34 0.18106 0.54994 0.81535 3.52
Lyr 0.18106 0.54994 0.81535 3.52 0.21408 0.54009 0.81393 3.25
Lyr 0.21408 0.54009 0.81393 3.25 0.1884 0.60041 0.7772 4.22
Lyr 0.1884 0.60041 0.7772 4.22 0.15379 0.61022 0.77717 4.34
Men 0.02891 -0.97172 -0.23435 5.18 0.10763 -0.94512 -0.30846 5.53
Mic 0.6435 -0.53246 0.54991 4.71 0.60133 -0.53372 0.5946 4.67
Mic 0.60133 -0.53372 0.5946 4.67 0.56146 -0.556 0.6129 4.89
Mon -0.06438 -0.10929 -0.99192 3.99 -0.12446 -0.12244 -0.98464 3.76
Mon -0.12446 -0.12244 -0.98464 3.76 -0.30844 -0.0086 -0.9512 4.15
Mon -0.30844 -0.0086 -0.9512 4.15 -0.10319 0.08008 -0.99143 4.39
Mon -0.10319 0.08008 -0.99143 4.39 -0.03907 0.04362 -0.99828 5.7
Mon -0.30844 -0.0086 -0.9512 4.15 -0.53139 -0.05205 -0.84552 4.36
Mon -0.53139 -0.05205 -0.84552 4.36 -0.42162 -0.16592 -0.89146 3.94
Mus -0.36528 -0.92788 0.07479 3.04 -0.3943 -0.91864 -0.02479 3.63
Mus -0.3943 -0.91864 -0.02479 3.63 -0.30373 -0.95177 0.04333 3.84
Mus -0.30373 -0.95177 0.04333 3.84 -0.35148 -0.93442 0.05754 2.69
Mus -0.35148 -0.93442 0.05754 2.69 -0.36528 -0.92788 0.07479 3.04
Nor -0.25945 -0.81543 0.51745 4.95 -0.27117 -0.76778 0.5805 4.01
Nor -0.27117 -0.76778 0.5805 4.01 -0.2659 -0.73792 0.6203 4.46
Nor -0.2659 -0.73792 0.6203 4.46 -0.31855 -0.75733 0.57007 4.65
Nor -0.31855 -0.75733 0.57007 4.65 -0.27117 -0.76778 0.5805 4.01
Nor -0.31855 -0.75733 0.57007 4.65 -0.25945 -0.81543 0.51745 4.95
Oct 0.17965 -0.97587 0.12408 3.73 0.14213 -0.9887 0.04752 4.13
Oct 0.14213 -0.9887 0.04752 4.13 -0.08839 -0.99389 0.06597 4.31
Oct -0.08839 -0.99389 0.06597 4.31 0.17965 -0.97587 0.12408 3.73
Oph -0.10654 0.21748 0.97024 2.08 -0.07182 0.07963 0.99424 2.76
Oph -0.20679 -0.27102 0.9401 2.43 -0.07182 0.07963 0.99424 2.76
Oph -0.10654 0.21748 0.97024 2.08 -0.26503 0.1629 0.95038 3.19
Oph -0.26503 0.1629 0.95038 3.19 -0.4278 -0.0818 0.90016 3.23
Oph -0.4278 -0.0818 0.90016 3.23 -0.34764 -0.18338 0.91952 2.54
Oph -0.34764 -0.18338 0.91952 2.54 -0.20679 -0.27102 0.9401 2.43
Oph -0.20679 -0.27102 0.9401 2.43 -0.11367 -0.40613 0.90672 4.78
Ori 0.08381 -0.03389 -0.9959 1.74 0.10358 -0.02097 -0.9944 1.69
Ori 0.10358 -0.02097 -0.9944 1.69 0.12184 -0.00522 -0.99253 2.25
Ori -0.01419 0.33695 -0.94141 5.14 -0.05048 0.24546 -0.96809 4.45
Ori -0.05048 0.24546 -0.96809 4.45 -0.03194 0.25492 -0.96643 4.42
Ori -0.03194 0.25492 -0.96643 4.42 0.02299 0.34655 -0.93775 4.39
Ori -0.05048 0.24546 -0.96809 4.45 -0.01025 0.16759 -0.9858 4.12
Ori -0.01025 0.16759 -0.9858 4.12 0.0209 0.12892 -0.99143 0.45
Ori 0.0209 0.12892 -0.99143 0.45 0.08381 -0.03389 -0.9959 1.74
Ori 0.08381 -0.03389 -0.9959 1.74 0.05264 -0.16796 -0.98438 2.07
Ori 0.05264 -0.16796 -0.98438 2.07 0.19506 -0.14265 -0.97036 0.18
Ori 0.19506 -0.14265 -0.97036 0.18 0.12184 -0.00522 -0.99253 2.25
Ori 0.12184 -0.00522 -0.99253 2.25 0.15063 0.1106 -0.98238 1.64
Ori 0.15063 0.1106 -0.98238 1.64 0.10665 0.17252 -0.97921 3.39
Ori 0.10665 0.17252 -0.97921 3.39 0.0209 0.12892 -0.99143 0.45
Ori 0.15063 0.1106 -0.98238 1.64 0.29917 0.1212 -0.94647 3.19
Ori 0.29917 0.1212 -0.94647 3.19 0.29427 0.09768 -0.95071 3.68
Ori 0.29427 0.09768 -0.95071 3.68 0.28634 0.04377 -0.95712 5.33
Ori 0.28634 0.04377 -0.95712 5.33 0.26482 0.02992 -0.96383 4.47
Ori 0.29917 0.1212 -0.94647 3.19 0.29457 0.15472 -0.94302 4.35
Ori 0.29457 0.15472 -0.94302 4.35 0.27589 0.17625 -0.94489 4.64
Ori -0.03194 0.25492 -0.96643 4.42 -0.01025 0.16759 -0.9858 4.12
Pav 0.32559 -0.83614 0.44143 1.94 0.32668 -0.909 0.25883 4.21
Pav 0.32668 -0.909 0.25883 4.21 0.26599 -0.91498 0.30342 3.42
Pav 0.26599 -0.91498 0.30342 3.42 0.21507 -0.91481 0.34186 3.55
Pav 0.21507 -0.91481 0.34186 3.55 0.32559 -0.83614 0.44143 1.94
Pav 0.21507 -0.91481 0.34186 3.55 0.14759 -0.95584 0.25413 3.97
Pav 0.14759 -0.95584 0.25413 3.97 0.05946 -0.94792 0.31291 4.01
Pav 0.05946 -0.94792 0.31291 4.01 0.09518 -0.92208 0.37509 4.4
Pav 0.09518 -0.92208 0.37509 4.4 0.21507 -0.91481 0.34186 3.55
Pav 0.09518 -0.92208 0.37509 4.4 0.10539 -0.88447 0.45453 4.22
Pav 0.10539 -0.88447 0.45453 4.22 0.04829 -0.87876 0.47481 4.35
Pav 0.04829 -0.87876 0.47481 4.35 0.01661 -0.89623 0.44327 4.33
Pav 0.01661 -0.89623 0.44327 4.33 0.10539 -0.88447 0.45453 4.22
Pav 0.01661 -0.89623 0.44327 4.33 -0.02656 -0.90425 0.42616 3.61
Peg 0.96349 0.26192 -0.0557 2.83 0.9371 0.26228 0.23035 2.49
Peg 0.85586 0.47075 0.2143 2.44 0.81578 0.50335 0.28488 2.93
Peg 0.81578 0.50335 0.28488 2.93 0.74115 0.54717 0.389 5.58
Peg 0.85586 0.47075 0.2143 2.44 0.86715 0.41631 0.27341 3.51
Peg 0.86715 0.41631 0.27341 3.51 0.86991 0.3998 0.28883 3.97
Peg 0.86991 0.3998 0.28883 3.97 0.79612 0.42807 0.42774 3.77
Peg 0.79612 0.42807 0.42774 3.77 0.74879 0.4328 0.50201 4.14
Peg 0.9371 0.26228 0.23035 2.49 0.92793 0.21089 0.30738 4.2
Peg 0.92793 0.21089 0.30738 4.2 0.92508 0.18792 0.33004 3.41
Peg 0.92508 0.18792 0.33004 3.41 0.88223 0.10797 0.4583 3.52
Peg 0.88223 0.10797 0.4583 3.52 0.81721 0.1715 0.55025 2.38
Peg 0.87327 0.4862 -0.03196 2.07 0.85586 0.47075 0.2143 2.44
Peg 0.87327 0.4862 -0.03196 2.07 0.96349 0.26192 -0.0557 2.83
Peg 0.85586 0.47075 0.2143 2.44 0.9371 0.26228 0.23035 2.49
Per 0.47176 0.53418 -0.7015 3.84 0.44325 0.5282 -0.72425 2.84
Per 0.44325 0.5282 -0.72425 2.84 0.40875 0.58484 -0.70064 3.98
Per 0.40875 0.58484 -0.70064 3.98 0.38916 0.64293 -0.65969 2.9
Per 0.38916 0.64293 -0.65969 2.9 0.37833 0.74066 -0.55524 3.01
Per 0.37833 0.74066 -0.55524 3.01 0.40499 0.76449 -0.50155 1.79
Per 0.40499 0.76449 -0.50155 1.79 0.41165 0.80393 -0.42924 2.91
Per 0.41165 0.80393 -0.42924 2.91 0.41225 0.82802 -0.38006 3.77
Per 0.40499 0.76449 -0.50155 1.79 0.51465 0.65548 -0.55271 2.09
Per 0.51465 0.65548 -0.55271 2.09 0.53819 0.62716 -0.56305 3.32
Per 0.53819 0.62716 -0.56305 3.32 0.5771 0.62004 -0.53151 4.22
Phe 0.54487 -0.8216 -0.16758 3.94 0.65728 -0.72799 -0.19496 3.32
Phe 0.65728 -0.72799 -0.19496 3.32 0.71849 -0.69062 -0.0825 3.93
Phe 0.71849 -0.69062 -0.0825 3.93 0.54487 -0.8216 -0.16758 3.94
Phe 0.65728 -0.72799 -0.19496 3.32 0.60386 -0.75554 -0.25399 3.93
Phe 0.60386 -0.75554 -0.25399 3.93 0.60764 -0.72299 -0.32871 4.39
Phe 0.60764 -0.72299 -0.32871 4.39 0.65728 -0.72799 -0.19496 3.32
Phe 0.65728 -0.72799 -0.19496 3.32 0.67415 -0.68604 -0.27362 3.41
Phe 0.67415 -0.68604 -0.27362 3.41 0.71849 -0.69062 -0.0825 3.93
Phe 0.71849 -0.69062 -0.0825 3.93 0.73472 -0.67307 -0.08462 2.4
Phe 0.73472 -0.67307 -0.08462 2.4 0.69725 -0.71626 -0.02864 3.88
Phe 0.69725 -0.71626 -0.02864 3.88 0.71849 -0.69062 -0.0825 3.93
Pic -0.09818 -0.88247 -0.46 3.24 0.02471 -0.83065 -0.55623 4.5
Pic 0.02471 -0.83065 -0.55623 4.5 0.03485 -0.77787 -0.62744 3.85
PsA 0.83734 -0.49427 0.23361 1.17 0.83782 -0.45466 0.30223 4.18
PsA 0.83782 -0.45466 0.30223 4.18 0.76302 -0.47644 0.43682 5.43
PsA 0.76302 -0.47644 0.43682 5.43 0.71911 -0.51351 0.46818 5.02
PsA 0.71911 -0.51351 0.46818 5.02 0.74794 -0.53801 0.38877 4.94
PsA 0.74794 -0.53801 0.38877 4.94 0.78263 -0.53503 0.31818 4.29
PsA 0.78263 -0.53503 0.31818 4.29 0.81031 -0.53788 0.23256 4.2
Psc 0.81813 0.52703 -0.23003 5.5 0.86268 0.41603 -0.28759 4.67
Psc 0.81813 0.52703 -0.23003 5.5 0.83601 0.4581 -0.30207 4.74
Psc 0.83601 0.4581 -0.30207 4.74 0.86268 0.41603 -0.28759 4.67
Psc 0.86268 0.41603 -0.28759 4.67 0.88854 0.26465 -0.37479 3.62
Psc 0.88854 0.26465 -0.37479 3.62 0.8847 0.15916 -0.43816 4.26
Psc 0.8847 0.15916 -0.43816 4.26 0.86053 0.04822 -0.50712 3.82
Psc 0.86053 0.04822 -0.50712 3.82 0.87838 0.05561 -0.47471 4.61
Psc 0.87838 0.05561 -0.47471 4.61 0.89951 0.09564 -0.4263 4.45
Psc 0.89951 0.09564 -0.4263 4.45 0.91827 0.10703 -0.38121 4.84
Psc 0.91827 0.10703 -0.38121 4.84 0.95341 0.13728 -0.26863 4.27
Psc 0.95341 0.13728 -0.26863 4.27 0.96996 0.12707 -0.20745 5.92
Psc 0.96996 0.12707 -0.20745 5.92 0.98581 0.14247 -0.08883 5.38
Psc 0.98581 0.14247 -0.08883 5.38 0.99283 0.11951 0.00299 4.031
Psc 0.99283 0.11951 0.00299 4.031 0.99138 0.09806 0.08697 4.13
Psc 0.99138 0.09806 0.08697 4.13 0.99646 0.03107 0.07822 4.49
Psc 0.99646 0.03107 0.07822 4.49 0.98938 0.02192 0.14376 4.95
Psc 0.98938 0.02192 0.14376 4.95 0.98097 0.05726 0.18555 3.7
Psc 0.98097 0.05726 0.18555 3.7 0.98412 0.11111 0.13845 4.27
Psc 0.98412 0.11111 0.13845 4.27 0.99138 0.09806 0.08697 4.13
Pup -0.48141 -0.41158 -0.77384 2.83 -0.41536 -0.42122 -0.80624 5.32
Pup -0.41536 -0.42122 -0.80624 5.32 -0.26343 -0.60317 -0.75285 2.71
Pup -0.26343 -0.60317 -0.75285 2.71 -0.11957 -0.68449 -0.71914 3.17
Pup -0.11957 -0.68449 -0.71914 3.17 -0.13716 -0.77289 -0.61953 2.94
Pup -0.13716 -0.77289 -0.61953 2.94 -0.27624 -0.68584 -0.67328 3.25
Pup -0.27624 -0.68584 -0.67328 3.25 -0.39333 -0.64283 -0.65731 2.21
Pup -0.39333 -0.64283 -0.65731 2.21 -0.48141 -0.41158 -0.77384 2.83
Pyx -0.52482 -0.57797 -0.62489 3.97 -0.54792 -0.54736 -0.63258 3.68
Pyx -0.54792 -0.54736 -0.63258 3.68 -0.59962 -0.46499 -0.65132 4.02
Ret 0.20545 -0.8868 -0.41397 3.33 0.22283 -0.85986 -0.45932 4.44
Ret 0.22283 -0.85986 -0.45932 4.44 0.24162 -0.87798 -0.41324 4.56
Ret 0.24162 -0.87798 -0.41324 4.56 0.23774 -0.90487 -0.35309 3.84
Ret 0.23774 -0.90487 -0.35309 3.84 0.20545 -0.8868 -0.41397 3.33
Scl 0.78448 -0.61316 0.09296 4.38 0.84324 -0.49025 -0.22045 4.3
Scl 0.84324 -0.49025 -0.22045 4.3 0.82953 -0.53776 0.15067 4.41
Scl 0.82953 -0.53776 0.15067 4.41 0.78448 -0.61316 0.09296 4.38
Sco -0.09163 -0.60326 0.79227 1.62 -0.05929 -0.62972 0.77456 2.39
Sco -0.05929 -0.62972 0.77456 2.39 -0.0414 -0.64448 0.7635 2.99
Sco -0.0414 -0.64448 0.7635 2.99 -0.07226 -0.68197 0.72781 1.86
Sco -0.07226 -0.68197 0.72781 1.86 -0.15099 -0.68503 0.71269 3.32
Sco -0.15099 -0.68503 0.71269 3.32 -0.20987 -0.67381 0.70847 4.7
Sco -0.20987 -0.67381 0.70847 4.7 -0.23066 -0.61631 0.75297 3
Sco -0.23066 -0.61631 0.75297 3 -0.24784 -0.56341 0.78812 2.29
Sco -0.24784 -0.56341 0.78812 2.29 -0.3162 -0.47279 0.82249 2.82
Sco -0.3162 -0.47279 0.82249 2.82 -0.34481 -0.44513 0.82642 1.06
Sco -0.34481 -0.44513 0.82642 1.06 -0.46036 -0.38464 0.80007 2.29
Sco -0.34481 -0.44513 0.82642 1.06 -0.45284 -0.44015 0.77537 2.89
Sco -0.34481 -0.44513 0.82642 1.06 -0.45096 -0.33882 0.82573 2.56
Sct 0.20369 -0.08277 0.97554 4.22 0.20469 -0.0994 0.97377 5.38
Sct 0.20469 -0.0994 0.97377 5.38 0.22778 -0.26897 0.93583 5.08
Sct 0.22778 -0.26897 0.93583 5.08 0.12297 -0.25149 0.96002 4.67
Sct 0.12297 -0.25149 0.96002 4.67 0.15144 -0.14337 0.97802 3.85
Sct 0.15144 -0.14337 0.97802 3.85 0.20369 -0.08277 0.97554 4.22
Ser -0.53772 -0.05983 0.841 3.54 -0.53266 0.07807 0.84272 3.71
Ser -0.53266 0.07807 0.84272 3.71 -0.55472 0.11192 0.82448 2.63
Ser -0.55472 0.11192 0.82448 2.63 -0.58201 0.18291 0.79235 3.8
Ser -0.58201 0.18291 0.79235 3.8 -0.5314 0.26593 0.8043 3.65
Ser -0.5314 0.26593 0.8043 3.65 -0.49428 0.27001 0.82631 3.85
Ser -0.49428 0.27001 0.82631 3.85 -0.51498 0.31137 0.79865 4.09
Ser -0.51498 0.31137 0.79865 4.09 -0.5314 0.26593 0.8043 3.65
Ser 0.2422 0.0733 0.96746 4.62 0.09276 -0.05054 0.99441 3.23
Ser 0.09276 -0.05054 0.99441 3.23 -0.07896 -0.22282 0.97166 4.24
Ser -0.07896 -0.22282 0.97166 4.24 -0.09413 -0.26552 0.9595 3.54
Ser -0.09413 -0.26552 0.9595 3.54 -0.16583 -0.22234 0.96077 4.32
Sex -0.9243 -0.01111 -0.38148 5.08 -0.8828 -0.00648 -0.46969 4.48
Sge 0.40707 0.30031 0.86263 4.39 0.42819 0.31788 0.84595 3.68
Sge 0.42819 0.31788 0.84595 3.68 0.40227 0.30925 0.86172 4.39
Sge 0.42819 0.31788 0.84595 3.68 0.46691 0.33368 0.81894 3.51
Sge 0.46691 0.33368 0.81894 3.51 0.48807 0.34188 0.80307 5.09
Sgr 0.07936 -0.49739 0.86389 2.72 0.10996 -0.42927 0.89646 2.82
Sgr 0.06157 -0.59848 0.79877 3.1 0.08689 -0.56474 0.82069 1.79
Sgr 0.08689 -0.56474 0.82069 1.79 0.02186 -0.50638 0.86203 2.98
Sgr 0.02186 -0.50638 0.86203 2.98 -0.04797 -0.46686 0.88303 4.53
Sgr 0.02186 -0.50638 0.86203 2.98 0.07936 -0.49739 0.86389 2.72
Sgr 0.07936 -0.49739 0.86389 2.72 0.08689 -0.56474 0.82069 1.79
Sgr 0.08689 -0.56474 0.82069 1.79 0.23395 -0.49818 0.83492 2.6
Sgr 0.23395 -0.49818 0.83492 2.6 0.17635 -0.45384 0.87346 3.17
Sgr 0.17635 -0.45384 0.87346 3.17 0.07936 -0.49739 0.86389 2.72
Sgr 0.17635 -0.45384 0.87346 3.17 0.10996 -0.42927 0.89646 2.82
Sgr 0.10996 -0.42927 0.89646 2.82 0.05601 -0.35932 0.93153 3.84
Sgr 0.23395 -0.49818 0.83492 2.6 0.25502 -0.46437 0.84813 3.32
Sgr 0.25502 -0.46437 0.84813 3.32 0.2141 -0.44301 0.87058 2.05
Sgr 0.2141 -0.44301 0.87058 2.05 0.17635 -0.45384 0.87346 3.17
Sgr 0.2141 -0.44301 0.87058 2.05 0.23252 -0.3601 0.90348 3.52
Sgr 0.23252 -0.3601 0.90348 3.52 0.25869 -0.37041 0.89212 3.76
Sgr 0.25869 -0.37041 0.89212 3.76 0.31429 -0.32479 0.89204 4.88
Sgr 0.31429 -0.32479 0.89204 4.88 0.33209 -0.30648 0.89208 3.92
Sgr 0.25502 -0.46437 0.84813 3.32 0.36957 -0.41816 0.8298 5.64
Sgr 0.36957 -0.41816 0.8298 5.64 0.45152 -0.46499 0.76152 4.43
Sgr 0.45152 -0.46499 0.76152 4.43 0.40738 -0.57751 0.70748 4.37
Sgr 0.40738 -0.57751 0.70748 4.37 0.35893 -0.66742 0.65248 4.12
Sgr 0.35893 -0.66742 0.65248 4.12 0.27169 -0.65098 0.70882 3.96
Sgr 0.35893 -0.66742 0.65248 4.12 0.25203 -0.70462 0.66331 4.27
Tau 0.12866 0.47882 -0.86843 1.65 0.30645 0.39004 -0.86831 4.27
Tau 0.30645 0.39004 -0.86831 4.27 0.36671 0.32855 -0.87039 3.53
Tau 0.34391 0.28418 -0.89497 0.87 0.09084 0.3607 -0.92825 2.97
Tau 0.40779 0.26939 -0.87243 3.65 0.39187 0.30142 -0.86924 3.77
Tau 0.40779 0.26939 -0.87243 3.65 0.48566 0.21628 -0.84697 3.41
Tau 0.48566 0.21628 -0.84697 3.41 0.6188 0.15694 -0.76971 3.61
Tau 0.34391 0.28418 -0.89497 0.87 0.36671 0.32855 -0.87039 3.53
Tau 0.34391 0.28418 -0.89497 0.87 0.37329 0.27348 -0.88649 3.4
Tau 0.37329 0.27348 -0.88649 3.4 0.40779 0.26939 -0.87243 3.65
Tau 0.36671 0.32855 -0.87039 3.53 0.38134 0.30783 -0.87168 4.3
Tau 0.38134 0.30783 -0.87168 4.3 0.39187 0.30142 -0.86924 3.77
Tau 0.39187 0.30142 -0.86924 3.77 0.49346 0.40759 -0.76835 3.62
Tel 0.0822 -0.75551 0.64996 4.1 0.08162 -0.71895 0.69025 3.49
TrA -0.10961 -0.93375 0.34072 1.91 -0.23502 -0.93156 0.27741 2.87
TrA -0.23502 -0.93156 0.27741 2.87 -0.23179 -0.89438 0.38255 2.83
TrA -0.23179 -0.89438 0.38255 2.83 -0.10961 -0.93375 0.34072 1.91
Tri 0.69258 0.54989 -0.46687 5.25 0.69186 0.5734 -0.43881 3
Tri 0.69186 0.5734 -0.43881 3 0.76594 0.49363 -0.4119 3.42
Tri 0.76594 0.49363 -0.4119 3.42 0.69258 0.54989 -0.46687 5.25
Tuc 0.44822 -0.86828 0.21259 2.87 0.51737 -0.85022 0.09722 3.99
Tuc 0.51737 -0.85022 0.09722 3.99 0.42294 -0.9054 -0.03706 4.23
Tuc 0.51737 -0.85022 0.09722 3.99 0.45035 -0.89067 -0.06237 4.36
UMa -0.58145 0.75829 0.29481 1.85 -0.53654 0.81841 0.20576 2.23
UMa -0.53654 0.81841 0.20576 2.23 -0.54429 0.82865 0.13075 1.76
UMa -0.54429 0.82865 0.13075 1.76 -0.54293 0.83899 0.0366 3.32
UMa -0.54293 0.83899 0.0366 3.32 -0.4591 0.8809 -0.11504 1.81
UMa -0.4591 0.8809 -0.11504 1.81 -0.53591 0.83276 -0.13899 2.34
